,,,,,
ชื่อชุด Set,ประเภท,ชื่อสกิล,จำนวนชิ้นที่ใส่,Effect ระดับ 1,Effect ระดับ 2
Neopteron Alert,Group,Honey Hunter,3,เพิ่มปริมาณน้ำผึ้งที่ได้รับจาการเก็บตามแผนที่,
Neopteron Camouflage,Group,Fleetfoot,3,เพิ่มความเร็วในการเคลื่อนที่ขณะนั่งหมอบ และทำให้หลบหนีจากการตรวจจับของมอนสเตอร์ขนาดใหญ่ได้ง่ายขึ้น,"
"
Flexible Leathercraft,Group,Hunter Gatherer,3,เพิ่มความเร็วในการเก็บของ และป้องกันแรงผลักขณะผู้เล่นกำลังเก็บของ หรือแล่ชิ้นส่วน,
Buttery Leathercraft,Group,Affinity Sliding,3,เพิ่มโอกาสโจมตีติดคริติคอล Affinity +30% เมื่อถไลตามพื้นเอียง,
Scaling Prowess,Group,Master Mounter,3,ทำให้ขี่มอนสเตอร์ได้ง่ายขึ้น และทำให้เกิดบาดเจ็บเมื่อขี่ทันที 1 แผล,
Scale Layering,Group,Adrenaline,3,ลดการใช้ Stamina ลงเมือเลือดของผู้เล่นต่ำกว่า 40%,
Fortifying Pelt,Group,Fortify,3,พลังโจมตีและป้องกันเพิ่มขึ้นผู้เล่นนอนแมว (เอฟเฟกต์นี้สามารถซ้อนทับได้ 2 ครั้ง),
Alluring Pelt,Group,Diversion,3,ดึงความสนใจให้มอนสเตอร์โจมตีมาที่ผู้เล่น,
Lord's Favor,Group,Inspiration,3,เพิ่มพลังโจมตีชั่วคราว เมื่อใช้ผู้เล่นทำการเป่าเพลงและเอฟเฟกต์นี้ส่งผลต่อเพื่อนร่วมทางที่อยู่ในระยะด้วย,
Lord's Fury,Group,Resuscitate,3,พลังโจมตี +10 เมื่อผู้เล่นติดสถานะผิดปกติใดก็ได้,
Guardian's Pulse,Group,Wylk Burst,3,เพิ่มความเร็วในการฟื้นฟู Stamina และเกจเลือดสีแดงเมื่อผู้เล่นอยู่ใกล้ก้อนคริสตัล Wylkrystal,
Guardian's Protection,Group,Ward of Wyveria,3,ลดความเสียหายจากธาตุและความเสียหายแบบพิเศษในขณะที่อยู่ในแมพ Ruins of Wyveria ,
Imparted Wisdom,Group,Forager's Luck,3,เพิ่มโอกาสได้รางวัลหายากจากการขุด Gathering points,
